id_integrante;Unidade;Cargo / Nome;Data Contratação;Idade;Status do Integrante;Fonte Recrutamento;Ano Contratacao
E111;U3;Assistente  / Bell;06/02/2025;52;Ativo;Site de Vagas;06/02/2025
E112;U1;Professor / Harvey;07/01/2014;47;Ativo;Indicacao Funcionarios;07/01/2014
E113;U2;Supervisor / Rodriguez;27/01/2019;32;Ativo;Site de Vagas;27/01/2019
E114;U1;Coordenador / Johnston;17/09/2020;42;Ativo;Site de Vagas;17/09/2020
E115;U1;Supervisor / Boyd;05/02/2018;34;Ativo;Indicacao Funcionarios;05/02/2018
E116;U1;Professor / Andrews;29/09/2021;34;Ativo;Site de Vagas;29/09/2021
E117;U3;Secret‡ria / Ramirez;16/08/2025;34;Ativo;Site de Vagas;16/08/2025
E118;U1;Assistente  / Lane;09/02/2025;40;Ativo;Indicacao Funcionarios;09/02/2025
E119;U2;Professor / Lee;19/07/2013;40;Ativo;Site da Empresa;19/07/2013
E120;U2;Secret‡ria / Adams;31/07/2012;38;Ativo;Site da Empresa;31/07/2012
E121;U2;Coordenador / Welch;03/05/2025;36;Ativo;Indicacao Funcionarios;03/05/2025
E122;U2;Professor / Anderson;06/07/2020;46;Ativo;Feira de Contratacao;06/07/2020
E123;U1;Professor / Johnson;03/02/2025;36;Ativo;Site da Empresa;03/02/2025
E124;U2;Coordenador / Howard;04/12/2020;29;Ativo;Feira de Contratacao;04/12/2020
E125;U2;Assistente  / Robinson;10/07/2014;23;Ativo;Feira de Contratacao;10/07/2014
E126;U3;Supervisor / Romero;28/09/2020;31;Ativo;Site de Vagas;28/09/2020
E127;U3;Assistente  / Robertson;06/07/2020;37;Ativo;Feira de Contratacao;06/07/2020
E128;U3;Secret‡ria / Schmidt;06/06/2019;31;Ativo;Indicacao Funcionarios;06/06/2019
E129;U1;Assistente  / Carter;18/08/2021;34;Ativo;Site de Vagas;18/08/2021
E130;U2;Secret‡ria / Snyder;10/10/2020;30;Ativo;Site de Vagas;10/10/2020
E131;U2;Assistente  / Collins;28/09/2020;52;Ativo;Site de Vagas;28/09/2020
E132;U3;Professor / Stone;21/07/2019;50;Ativo;Indicacao Funcionarios;21/07/2019
E133;U1;Assistente  / Scott;10/11/2021;27;Ativo;Site de Vagas;10/11/2021
E134;U1;Supervisor / Matthews;06/08/2021;37;Ativo;Feira de Contratacao;06/08/2021
E135;U2;Assistente  / Bowman;01/09/2025;40;Ativo;Feira de Contratacao;01/09/2025
E136;U3;Assistente  / Morrison;29/08/2013;30;Ativo;Site de Vagas;29/08/2013
E137;U1;Professor / Gutierrez;03/04/2014;38;Ativo;Feira de Contratacao;03/04/2014
E138;U3;Supervisor / Sanchez;06/05/2014;29;Ativo;Site da Empresa;06/05/2014
E139;U2;Coordenador / Knight;29/03/2018;28;Ativo;Site de Vagas;29/03/2018
E140;U1;Coordenador / Dean;17/08/2020;39;Ativo;Indicacao Funcionarios;17/08/2020
E141;U1;Assistente  / Phillips;10/07/2014;36;Ativo;Site de Vagas;10/07/2014
E142;U1;Supervisor / Carroll;29/09/2021;32;Ativo;Indicacao Funcionarios;29/09/2021
E143;U1;Assistente  / Bryant;12/05/2021;46;Ativo;Site da Empresa;12/05/2021
E144;U2;Assistente  / Palmer;06/07/2020;30;Ativo;Indicacao Funcionarios;06/07/2020
E145;U1;Assistente  / Gardner;03/04/2014;25;Ativo;Site da Empresa;03/04/2014
E146;U2;Coordenador / Gordon;06/07/2020;26;Ativo;Site de Vagas;06/07/2020
E147;U3;Secret‡ria / Lopez;12/05/2021;42;Ativo;Feira de Contratacao;12/05/2021
E148;U2;Assistente  / Freeman;28/09/2020;32;Ativo;Indicacao Funcionarios;28/09/2020
E149;U1;Assistente  / Harper;16/02/2020;28;Ativo;Site de Vagas;16/02/2020
E150;U2;Secret‡ria / Fields;05/05/2018;23;Ativo;Feira de Contratacao;05/05/2018
E151;U1;Secret‡ria / Hunt;05/08/2019;39;Ativo;Indicacao Funcionarios;05/08/2019
E152;U1;Professor / Mills;04/05/2020;26;Ativo;Site de Vagas;04/05/2020
E153;U1;Supervisor / Moore;17/05/2020;31;Ativo;Site de Vagas;17/05/2020
E154;U1;Secret‡ria / Kennedy;01/05/2019;31;Ativo;Site de Vagas;01/05/2019
E155;U1;Assistente  / Banks;27/10/2011;28;Ativo;Feira de Contratacao;27/10/2011
E156;U3;Assistente  / Ray;31/05/2020;32;Ativo;Site de Vagas;31/05/2020
E157;U1;Professor / Baker;28/09/2020;30;Ativo;Site de Vagas;28/09/2020
E158;U2;Supervisor / Ellis;04/01/2018;27;Ativo;Site de Vagas;04/01/2018
